X,Y,Latitude,Longitude,dT,z
3406478.11,509060.35,30.7790153,114.0946509,0.114497067,-85
3406476.81,509059.58,30.7790036,114.0946429,0.092148848,-85
3406475.52,509058.82,30.7789919,114.0946349,0.068504848,-85
3406474.22,509058.05,30.7789802,114.0946269,0.043045308,-85
3406472.92,509057.29,30.7789685,114.0946189,0.015713429,-85
3406471.62,509056.53,30.7789568,114.094611,-0.013282787,-85
3406470.33,509055.77,30.7789451,114.094603,-0.043790524,-85
3406469.04,509055.01,30.7789335,114.0945951,-0.075014892,-85
3406467.73,509054.26,30.7789217,114.0945872,-0.107863134,-85
3406466.43,509053.49,30.77891,114.0945792,-0.142418826,-85
3406465.15,509052.73,30.7788984,114.0945712,-0.177486288,-85
3406463.85,509051.96,30.7788867,114.0945632,-0.214091753,-85
3406462.55,509051.2,30.778875,114.0945552,-0.251797311,-85
3406461.24,509050.44,30.7788632,114.0945472,-0.290942826,-85
3406459.94,509049.67,30.7788515,114.0945392,-0.331776169,-85
3406458.65,509048.92,30.7788398,114.0945313,-0.373238087,-85
3406457.34,509048.15,30.778828,114.0945233,-0.416093591,-85
3406456.05,509047.39,30.7788164,114.0945153,-0.457867037,-85
3406454.75,509046.62,30.7788047,114.0945073,-0.500129762,-85
3406453.45,509045.87,30.778793,114.0944994,-0.54229526,-85
3406452.16,509045.09,30.7787813,114.0944913,-0.585856843,-85
3406450.87,509044.33,30.7787697,114.0944833,-0.629760657,-85
3406449.57,509043.55,30.778758,114.0944752,-0.674418925,-85
3406448.29,509042.79,30.7787464,114.0944672,-0.717796558,-85
3406446.99,509042.02,30.7787347,114.0944592,-0.759949058,-85
3406445.7,509041.27,30.7787231,114.0944513,-0.80057787,-85
3406444.4,509040.51,30.7787114,114.0944434,-0.841171164,-85
3406443.11,509039.75,30.7786997,114.0944354,-0.880659571,-85
3406441.81,509038.98,30.778688,114.0944274,-0.920552639,-85
3406440.51,509038.22,30.7786763,114.0944194,-0.957767321,-85
3406439.21,509037.45,30.7786646,114.0944114,-0.994181087,-85
3406437.91,509036.69,30.7786529,114.0944034,-1.027135547,-85
3406436.62,509035.93,30.7786412,114.0943954,-1.057802953,-85
3406435.32,509035.17,30.7786295,114.0943875,-1.086840488,-85
3406434.01,509034.41,30.7786177,114.0943795,-1.112205338,-85
3406432.71,509033.64,30.778606,114.0943715,-1.135311012,-85
3406431.41,509032.89,30.7785943,114.0943636,-1.154542508,-85
3406430.12,509032.13,30.7785826,114.0943557,-1.170671053,-85
3406428.82,509031.37,30.7785709,114.0943477,-1.184732473,-85
3406427.53,509030.6,30.7785593,114.0943397,-1.195413363,-85
3406426.23,509029.84,30.7785476,114.0943317,-1.203761644,-85
3406424.94,509029.08,30.7785359,114.0943238,-1.208928915,-85
3406423.64,509028.32,30.7785242,114.0943158,-1.212173092,-85
3406422.34,509027.55,30.7785125,114.0943078,-1.214264719,-85
3406421.05,509026.79,30.7785009,114.0942998,-1.215141006,-85
3406419.76,509026.02,30.7784892,114.0942918,-1.215571043,-85
3406418.46,509025.26,30.7784775,114.0942838,-1.215106945,-85
3406417.16,509024.5,30.7784658,114.0942759,-1.215665327,-85
3406415.86,509023.74,30.7784541,114.0942679,-1.215867744,-85
3406414.58,509022.98,30.7784425,114.09426,-1.217406759,-85
3406413.28,509022.22,30.7784308,114.094252,-1.220182518,-85
3406411.98,509021.45,30.7784191,114.094244,-1.223551315,-85
3406410.68,509020.7,30.7784074,114.0942361,-1.227868149,-85
3406409.4,509019.93,30.7783958,114.0942281,-1.23417584,-85
3406408.1,509019.18,30.7783841,114.0942202,-1.240053133,-85
3406405.5,509017.66,30.7783607,114.0942043,-1.25646883,-85
3406404.21,509016.89,30.778349,114.0941963,-1.266248092,-85
3406402.91,509016.13,30.7783373,114.0941883,-1.277044088,-85
3406401.62,509015.37,30.7783257,114.0941804,-1.287246028,-85
3406400.32,509014.62,30.778314,114.0941725,-1.297938167,-85
3406399.04,509013.87,30.7783024,114.0941647,-1.308518621,-85
3406397.74,509013.11,30.7782907,114.0941567,-1.319930747,-85
3406396.45,509012.35,30.7782791,114.0941488,-1.331400831,-85
3406395.15,509011.59,30.7782674,114.0941408,-1.342995778,-85
3406393.87,509010.83,30.7782558,114.0941329,-1.355552947,-85
3406392.56,509010.07,30.778244,114.0941249,-1.365814771,-85
3406391.27,509009.31,30.7782324,114.094117,-1.375380943,-85
3406389.99,509008.55,30.7782208,114.094109,-1.386104727,-85
3406388.69,509007.78,30.7782091,114.094101,-1.396117704,-85
3406387.4,509007.02,30.7781975,114.094093,-1.404784808,-85
3406386.1,509006.26,30.7781858,114.0940851,-1.414633601,-85
3406384.81,509005.5,30.7781741,114.0940771,-1.422336482,-85
3406383.51,509004.74,30.7781624,114.0940691,-1.429810659,-85
3406382.22,509003.97,30.7781508,114.0940611,-1.43729827,-85
3406380.92,509003.2,30.7781391,114.094053,-1.443039641,-85
3406379.63,509002.43,30.7781274,114.094045,-1.449813578,-85
3406378.33,509001.67,30.7781157,114.094037,-1.455934397,-85
3406377.03,509000.9,30.778104,114.094029,-1.460665359,-85
3406375.74,509000.14,30.7780924,114.094021,-1.464918803,-85
3406374.45,508999.38,30.7780807,114.0940131,-1.469824734,-85
3406373.15,508998.63,30.778069,114.0940052,-1.472961971,-85
3406371.86,508997.87,30.7780574,114.0939973,-1.477170123,-85
3406370.56,508997.12,30.7780457,114.0939894,-1.480031774,-85
3406369.28,508996.35,30.7780341,114.0939814,-1.485236771,-85
3406367.98,508995.6,30.7780224,114.0939735,-1.487406452,-85
3406366.69,508994.84,30.7780108,114.0939656,-1.488631713,-85
3406365.39,508994.08,30.7779991,114.0939576,-1.491127844,-85
3406364.11,508993.31,30.7779875,114.0939496,-1.493241964,-85
3406362.81,508992.56,30.7779758,114.0939417,-1.493912645,-85
3406361.52,508991.79,30.7779642,114.0939337,-1.496340067,-85
3406360.23,508991.04,30.7779525,114.0939258,-1.496309401,-85
3406358.93,508990.27,30.7779408,114.0939178,-1.497053787,-85
3406357.64,508989.52,30.7779292,114.0939099,-1.49606741,-85
3406356.33,508988.75,30.7779174,114.0939019,-1.496003328,-85
3406355.05,508987.99,30.7779058,114.0938939,-1.495542531,-85
3406352.44,508986.47,30.7778823,114.093878,-1.493411445,-85
3406351.14,508985.71,30.7778706,114.0938701,-1.492205695,-85
3406349.84,508984.95,30.7778589,114.0938621,-1.490599679,-85
3406348.53,508984.18,30.7778471,114.0938541,-1.490039141,-85
3406347.24,508983.42,30.7778354,114.0938461,-1.488709852,-85
3406345.94,508982.65,30.7778237,114.0938381,-1.488166882,-85
3406344.64,508981.88,30.777812,114.09383,-1.486927107,-85
3406343.33,508981.12,30.7778002,114.093822,-1.485743315,-85
3406342.03,508980.34,30.7777885,114.0938139,-1.486034119,-85
3406340.75,508979.58,30.7777769,114.0938059,-1.48510917,-85
3406339.46,508978.8,30.7777653,114.0937978,-1.486172407,-85
3406338.16,508978.04,30.7777536,114.0937898,-1.486835693,-85
3406336.88,508977.26,30.777742,114.0937817,-1.488302843,-85
3406335.58,508976.49,30.7777303,114.0937736,-1.490065283,-85
3406334.28,508975.71,30.7777186,114.0937655,-1.491963205,-85
3406332.98,508974.95,30.7777069,114.0937575,-1.493975949,-85
3406331.7,508974.18,30.7776953,114.0937495,-1.496673926,-85
3406330.4,508973.42,30.7776836,114.0937415,-1.499781635,-85
3406329.11,508972.67,30.777672,114.0937336,-1.503017845,-85
3406327.83,508971.9,30.7776604,114.0937256,-1.507774063,-85
3406326.53,508971.15,30.7776487,114.0937177,-1.51230734,-85
3406325.24,508970.38,30.7776371,114.0937097,-1.51763852,-85
3406323.94,508969.62,30.7776254,114.0937017,-1.523062718,-85
3406322.66,508968.86,30.7776138,114.0936938,-1.528758767,-85
3406321.37,508968.1,30.7776022,114.0936858,-1.53508363,-85
3406320.08,508967.33,30.7775906,114.0936778,-1.541244065,-85
3406318.79,508966.56,30.7775789,114.0936697,-1.547150132,-85
3406317.51,508965.78,30.7775674,114.0936616,-1.553320252,-85
3406316.21,508965.02,30.7775557,114.0936536,-1.556736892,-85
3406314.91,508964.23,30.777544,114.0936454,-1.559807046,-85
3406313.63,508963.47,30.7775324,114.0936374,-1.56162587,-85
3406312.33,508962.7,30.7775207,114.0936294,-1.561294807,-85
3406311.04,508961.96,30.7775091,114.0936216,-1.556879033,-85
3406309.75,508961.21,30.7774974,114.0936138,-1.552560671,-85
3406308.46,508960.46,30.7774858,114.0936059,-1.547490374,-85
3406307.16,508959.71,30.7774741,114.0935981,-1.539033256,-85
3406305.87,508958.96,30.7774625,114.0935902,-1.528774712,-85
3406304.58,508958.2,30.7774508,114.0935823,-1.517741061,-85
3406303.3,508957.45,30.7774393,114.0935744,-1.50409995,-85
3406302.01,508956.68,30.7774277,114.0935664,-1.488397962,-85
3406300.72,508955.91,30.777416,114.0935583,-1.471628898,-85
3406299.43,508955.14,30.7774044,114.0935503,-1.452996928,-85
3406298.13,508954.38,30.7773927,114.0935423,-1.431261234,-85
3406296.83,508953.61,30.777381,114.0935343,-1.408762742,-85
3406295.54,508952.85,30.7773693,114.0935263,-1.385083341,-85
3406294.24,508952.08,30.7773576,114.0935183,-1.359769355,-85
3406292.95,508951.32,30.777346,114.0935103,-1.331946832,-85
3406291.65,508950.54,30.7773343,114.0935021,-1.303692746,-85
3406290.36,508949.77,30.7773226,114.0934941,-1.273645968,-85
3406289.07,508949.0,30.777311,114.093486,-1.241893565,-85
3406287.78,508948.22,30.7772994,114.0934779,-1.211169596,-85
3406286.49,508947.46,30.7772877,114.0934699,-1.179428018,-85
3406285.2,508946.69,30.7772761,114.0934619,-1.146462022,-85
3406283.91,508945.94,30.7772645,114.093454,-1.11273522,-85
3406282.61,508945.17,30.7772528,114.093446,-1.080405088,-85
