X,Y,Latitude,Longitude,z,dT
3406329.11,508972.67,30.777672,114.0937336,-85,-1.503017845
3406327.83,508971.9,30.7776604,114.0937256,-85,-1.507774063
3406326.53,508971.15,30.7776487,114.0937177,-85,-1.51230734
3406325.24,508970.38,30.7776371,114.0937097,-85,-1.51763852
3406323.94,508969.62,30.7776254,114.0937017,-85,-1.523062718
3406322.66,508968.86,30.7776138,114.0936938,-85,-1.528758767
3406321.37,508968.1,30.7776022,114.0936858,-85,-1.53508363
3406320.08,508967.33,30.7775906,114.0936778,-85,-1.541244065
3406318.79,508966.56,30.7775789,114.0936697,-85,-1.547150132
3406317.51,508965.78,30.7775674,114.0936616,-85,-1.553320252
3406316.21,508965.02,30.7775557,114.0936536,-85,-1.556736892
3406314.91,508964.23,30.777544,114.0936454,-85,-1.559807046
3406313.63,508963.47,30.7775324,114.0936374,-85,-1.56162587
3406312.33,508962.7,30.7775207,114.0936294,-85,-1.561294807
3406311.04,508961.96,30.7775091,114.0936216,-85,-1.556879033
3406309.75,508961.21,30.7774974,114.0936138,-85,-1.552560671
3406308.46,508960.46,30.7774858,114.0936059,-85,-1.547490374
3406307.16,508959.71,30.7774741,114.0935981,-85,-1.539033256
3406305.87,508958.96,30.7774625,114.0935902,-85,-1.528774712
3406304.58,508958.2,30.7774508,114.0935823,-85,-1.517741061
3406303.3,508957.45,30.7774393,114.0935744,-85,-1.50409995
3406302.01,508956.68,30.7774277,114.0935664,-85,-1.488397962
3406300.72,508955.91,30.777416,114.0935583,-85,-1.471628898
3406299.43,508955.14,30.7774044,114.0935503,-85,-1.452996928
3406298.13,508954.38,30.7773927,114.0935423,-85,-1.431261234
3406296.83,508953.61,30.777381,114.0935343,-85,-1.408762742
3406295.54,508952.85,30.7773693,114.0935263,-85,-1.385083341
3406294.24,508952.08,30.7773576,114.0935183,-85,-1.359769355
3406292.95,508951.32,30.777346,114.0935103,-85,-1.331946832
3406291.65,508950.54,30.7773343,114.0935021,-85,-1.303692746
3406290.36,508949.77,30.7773226,114.0934941,-85,-1.273645968
3406289.07,508949,30.777311,114.093486,-85,-1.241893565
3406287.78,508948.22,30.7772994,114.0934779,-85,-1.211169596
3406286.49,508947.46,30.7772877,114.0934699,-85,-1.179428018
3406285.2,508946.69,30.7772761,114.0934619,-85,-1.146462022
3406283.91,508945.94,30.7772645,114.093454,-85,-1.11273522
3406282.61,508945.17,30.7772528,114.093446,-85,-1.080405088
3406281.32,508944.42,30.7772411,114.0934381,-85,-1.047126834
3406280.03,508943.67,30.7772295,114.0934303,-85,-1.014000012
3406278.73,508942.91,30.7772178,114.0934223,-85,-0.98185857
3406277.45,508942.14,30.7772062,114.0934143,-85,-0.950645778
3406276.15,508941.4,30.7771945,114.0934065,-85,-0.918576992
3406274.85,508940.64,30.7771828,114.0933986,-85,-0.887619974
3406273.55,508939.89,30.7771711,114.0933907,-85,-0.857005122
3406272.27,508939.12,30.7771595,114.0933827,-85,-0.827099147
3406270.97,508938.38,30.7771478,114.0933749,-85,-0.797599331
3406269.67,508937.61,30.7771361,114.0933669,-85,-0.768857181
3406268.38,508936.86,30.7771245,114.093359,-85,-0.73987973
